U.S. Census Bureau
Source: Monthly Retail Trade and Food Services
44111: New Car Dealers: U.S. Total
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]
Period: 2008 to 2022
Data Extracted on: April 25, 2023 (11:27 am)

Period,Value
Jan-2008,49775
Feb-2008,51502
Mar-2008,57091
Apr-2008,53864
May-2008,55396
Jun-2008,49500
Jul-2008,50236
Aug-2008,51435
Sep-2008,44333
Oct-2008,39272
Nov-2008,34535
Dec-2008,38654
Jan-2009,36015
Feb-2009,35243
Mar-2009,40565
Apr-2009,39441
May-2009,41068
Jun-2009,42442
Jul-2009,45635
Aug-2009,49947
Sep-2009,37120
Oct-2009,40085
Nov-2009,36810
Dec-2009,42194
Jan-2010,37035
Feb-2010,37155
Mar-2010,49926
Apr-2010,47053
May-2010,48346
Jun-2010,46879
Jul-2010,49697
Aug-2010,48858
Sep-2010,45610
Oct-2010,45366
Nov-2010,43813
Dec-2010,49735
Jan-2011,43739
Feb-2011,46318
Mar-2011,55952
Apr-2011,51777
May-2011,51278
Jun-2011,51281
Jul-2011,51208
Aug-2011,52919
Sep-2011,50292
Oct-2011,49873
Nov-2011,48662
Dec-2011,55489
Jan-2012,47096
Feb-2012,52611
Mar-2012,61036
Apr-2012,54942
May-2012,60389
Jun-2012,56669
Jul-2012,56948
Aug-2012,61184
Sep-2012,54451
Oct-2012,54854
Nov-2012,53618
Dec-2012,58752
Jan-2013,53207
Feb-2013,54773
Mar-2013,63415
Apr-2013,61557
May-2013,65949
Jun-2013,62730
Jul-2013,66310
Aug-2013,68523
Sep-2013,58271
Oct-2013,60599
Nov-2013,58923
Dec-2013,62974
Jan-2014,54782
Feb-2014,56543
Mar-2014,69356
Apr-2014,67243
May-2014,71695
Jun-2014,65960
Jul-2014,70360
Aug-2014,72431
Sep-2014,64116
Oct-2014,64878
Nov-2014,62156
Dec-2014,69688
Jan-2015,61382
Feb-2015,60236
Mar-2015,73821
Apr-2015,71034
May-2015,74901
Jun-2015,71972
Jul-2015,75596
Aug-2015,76711
Sep-2015,70980
Oct-2015,70440
Nov-2015,66512
Dec-2015,75109
Jan-2016,62609
Feb-2016,67847
Mar-2016,76249
Apr-2016,73855
May-2016,75396
Jun-2016,74033
Jul-2016,76732
Aug-2016,80482
Sep-2016,74011
Oct-2016,71569
Nov-2016,70773
Dec-2016,80666
Jan-2017,65971
Feb-2017,67940
Mar-2017,79979
Apr-2017,72884
May-2017,79739
Jun-2017,76458
Jul-2017,77678
Aug-2017,80168
Sep-2017,77006
Oct-2017,75055
Nov-2017,73839
Dec-2017,79770
Jan-2018,67821
Feb-2018,67571
Mar-2018,82992
Apr-2018,74523
May-2018,82270
Jun-2018,78444
Jul-2018,78390
Aug-2018,82386
Sep-2018,73264
Oct-2018,75886
Nov-2018,73790
Dec-2018,80990
Jan-2019,67226
Feb-2019,67720
Mar-2019,82748
Apr-2019,77083
May-2019,84105
Jun-2019,78288
Jul-2019,82566
Aug-2019,87979
Sep-2019,75909
Oct-2019,79104
Nov-2019,77949
Dec-2019,81688
Jan-2020,70844
Feb-2020,72902
Mar-2020,58099
Apr-2020,48811
May-2020,75642
Jun-2020,79279
Jul-2020,82229
Aug-2020,83414
Sep-2020,83216
Oct-2020,84883
Nov-2020,76721
Dec-2020,89329
Jan-2021,77351
Feb-2021,74835
Mar-2021,104458
Apr-2021,102435
May-2021,102889
Jun-2021,97279
Jul-2021,95897
Aug-2021,90548
Sep-2021,86748
Oct-2021,87673
Nov-2021,85780
Dec-2021,92751
Jan-2022,84871
Feb-2022,86629
Mar-2022,101645
Apr-2022,100395
May-2022,95901
Jun-2022,95625
Jul-2022,92334
Aug-2022,99421
Sep-2022,92034
Oct-2022,94566
Nov-2022,88870
Dec-2022,95313
