product,pattern,speed,passNum,numRead,numCase
1,1,1.62,1,30,30
1,1,8.05,1,28,30
1,1,16.09,1,28,30
1,2,1.62,1,26,35
1,2,8.05,1,24,35
1,2,16.09,1,23,35
1,3,1.62,1,22,36
1,3,8.05,1,22,36
1,3,16.09,1,21,36
2,1,1.62,1,40,144
2,1,8.05,1,17,144
2,1,16.09,1,18,144
2,2,1.62,1,63,136
2,2,8.05,1,30,136
2,2,16.09,1,25,136
2,3,1.62,1,58,128
2,3,8.05,1,36,128
2,3,16.09,1,27,128
1,1,1.62,2,29,30
1,1,8.05,2,28,30
1,1,16.09,2,27,30
1,2,1.62,2,26,35
1,2,8.05,2,22,35
1,2,16.09,2,24,35
1,3,1.62,2,22,36
1,3,8.05,2,22,36
1,3,16.09,2,21,36
2,1,1.62,2,29,144
2,1,8.05,2,19,144
2,1,16.09,2,15,144
2,2,1.62,2,62,136
2,2,8.05,2,38,136
2,2,16.09,2,36,136
2,3,1.62,2,57,128
2,3,8.05,2,36,128
2,3,16.09,2,29,128
1,1,1.62,3,30,30
1,1,8.05,3,28,30
1,1,16.09,3,26,30
1,2,1.62,3,24,35
1,2,8.05,3,25,35
1,2,16.09,3,23,35
1,3,1.62,3,22,36
1,3,8.05,3,21,36
1,3,16.09,3,20,36
2,1,1.62,3,35,144
2,1,8.05,3,25,144
2,1,16.09,3,21,144
2,2,1.62,3,61,136
2,2,8.05,3,36,136
2,2,16.09,3,28,136
2,3,1.62,3,52,128
2,3,8.05,3,34,128
2,3,16.09,3,37,128
1,1,1.62,4,30,30
1,1,8.05,4,28,30
1,1,16.09,4,28,30
1,2,1.62,4,27,35
1,2,8.05,4,24,35
1,2,16.09,4,24,35
1,3,1.62,4,22,36
1,3,8.05,4,21,36
1,3,16.09,4,21,36
2,1,1.62,4,37,144
2,1,8.05,4,23,144
2,1,16.09,4,20,144
2,2,1.62,4,60,136
2,2,8.05,4,34,136
2,2,16.09,4,38,136
2,3,1.62,4,57,128
2,3,8.05,4,27,128
2,3,16.09,4,34,128
1,1,1.62,5,30,30
1,1,8.05,5,29,30
1,1,16.09,5,27,30
1,2,1.62,5,26,35
1,2,8.05,5,22,35
1,2,16.09,5,21,35
1,3,1.62,5,22,36
1,3,8.05,5,21,36
1,3,16.09,5,21,36
2,1,1.62,5,41,144
2,1,8.05,5,28,144
2,1,16.09,5,18,144
2,2,1.62,5,61,136
2,2,8.05,5,35,136
2,2,16.09,5,36,136
2,3,1.62,5,52,128
2,3,8.05,5,40,128
2,3,16.09,5,32,128
